abduct,誘拐する,1
abridge,～を要約する、～を短縮する,1
abridged,要約された,1
abruptly,不意に、出し抜けに,1
acclaim,盛んなかっさいを送る,1
accommodate,〜を収容する、〜を宿泊させる,1
accomplished,完成した、既成の、熟練した,1
accounting,会計学、 計算、経理,1
accumulation,蓄積、利殖、蓄財,1
acknowledgement,承認、領収書、感謝のしるし,1
acquisition,獲得、取得物、利得,1
actually,実際に、本当のところは,1
additional,付加的な，追加の,1
address a meeting,会衆にあいさつする,1
addressee,受信人、名あて人,1
administration,管理、運営、経営、統治、行政,1
admit,認める、入れる,1
advance,前進、進める、前進させる、提案する、提示する,1
adverse,逆らう、反対の、不都合な,1
advertising,広告すること、広告,1
advertising effect,広告効果,1
aerospace,航空宇宙、気圏,1
affiliate,加入させる、合併させる,1
affiliated company,傘下企業; 関連会社; 子会社,1
affirmative,確言的な、断定的な,1
afford,余裕がある、差し支えない,1
aftermath,二番刈り、余波、災害などの後の状態,1
agenda,議題、協議事項、議事日程、予定表,1
aggression,侵略、攻撃,1
aging,老齢化、老化、熟成,1
aisle seat,通路側の席,1
alert,～に警告する、警戒している,1
alienate,遠ざける、不和にする,1
allergy,アレルギー,1
allocate,割り当てる、配分する,1
amid,の真ん中に、の真っ最中に,1
analyst,分析者、アナリスト,1
annex,添付する、添付書類、別館,1
annual,年に1度の、例年の、1年の、年々の、毎年の,1
appear,出現する、ように見える、見受けられる,1
appetizer,食欲をそそるもの、前菜,1
applause,拍手かっさい、称賛,1
appliance,器具、装置、設備、電気製品,1
applicant,応募者、志願者,1
appreciate,高く評価する、鑑賞する、感謝する,1
appropriately,適切に、ふさわしく,1
approximately,おおよそ、ほぼ,1
aquatic,水生の、水産の,1
architect,建築家、建築士、設計者、企画者,1
archive,文書記録、記録保管所、文書局,1
aspect,面、様相、顔つき,1
aspiration,熱望、志望,1
assess,を評価する,1
associated company,関連会社,1
assorted,分類した、詰め合わせの、(夫婦などが)釣り合った,1
asylum,避難、亡命、保護,1
attend,出席する、参列する.,1
attire,～を盛装させる、衣装,1
attract,引く、引き込む、引き付ける,1
auditorium,観客席、大講義室,1
austere,厳しい、質素な,1
avert,そむける、そらす,1
avid,貪欲な、熱心な、渇望して,1
backbreaking,ひどく骨の折れる,1
bad debt,貸倒,1
baggage claim,(空港の)手荷物受取所,1
ban,禁止、禁止令、禁止する,1
barter,物々交換する,1
bear,～を産む、～に耐える,1
belittle,(…を)見くびる、けなす,1
benefit,利益、ためになること、幸福につながる便益,1
betrayal,裏切り、背信、密告、内通,1
bid,(値を)つける、入札する,1
bleak,寒い、暗い,1
blow out,吹き消す,1
blunder,失敗をやる、しくじる,1
boost,押し上げ、後援、増大,1
boredom,退屈、倦怠,1
bottom out,海底に達する,1
breathtakingly,あっと言わせるほど,1
bribery,わいろ、贈賄、収賄,1
brochure,パンフレット,1
budget,政府などの予算案、予算、 経費,1
budget constraint,予算制限; 予算制約; 予算制約式,1
budget deficits,財政赤字,1
bulk,大きさ、積み荷、かさばる,1
bulk buying,大量買入れ,1
bulk discount,まとめ割,1
bureaucracy,官僚制,1
burst,破裂する,1
business boom,景気上昇,1
business venture,民間事業,1
by oneself,ひとりだけで,1
by overnight mail,翌日配達郵便で,1
bypass,バイパス、側管,1
candidate,候補者,1
capsize,ひっくり返す、転覆させる,1
cardboard,ボール紙、厚紙,1
carrier,配達人、運送業者、保険会社,1
carry-on luggage,機内持ち込み荷物,1
cater,料理を調達する、提供する、賄う,1
certification,証明、検定、認可,1
certified,保証された、公認の,1
checkup,健康診断、検査,1
